X Z Cp
0.890420 -1.148200 0.351830
0.000000 0.019000 0.327170
0.000000 0.006000 0.291830
0.000000 0.000000 0.262660
0.000000 0.016000 0.239190
0.000000 0.001000 0.219640
0.000000 0.011000 0.203460
0.000000 0.016000 0.189930
0.000000 0.011000 0.178650
0.000000 0.016000 0.169220
0.000000 0.006000 0.161440
0.000000 0.008000 0.155020
0.000000 0.009000 0.149480
0.000000 0.005000 0.144760
0.000000 0.016000 0.140060
0.000000 0.010000 0.135650
0.000000 0.013000 0.131100
0.000000 0.010000 0.126580
0.000000 0.017000 0.122060
0.000000 0.016000 0.117530
0.000000 0.010000 0.113050
0.000000 0.018000 0.108640
0.000000 0.010000 0.104360
0.000000 0.020000 0.100210
0.000000 0.001000 0.096229
0.000000 0.007000 0.092421
0.000000 0.012000 0.088802
0.000000 0.004000 0.085381
0.000000 0.014000 0.082160
0.000000 0.014000 0.079136
0.000000 0.015000 0.076298
0.000000 0.016000 0.073633
0.000000 0.012000 0.071117
0.000000 0.017000 0.068725
0.000000 0.006000 0.066423
0.000000 0.005000 0.064176
0.000000 0.001000 0.061944
0.000000 0.015000 0.059688
0.000000 0.009000 0.057370
0.000000 0.002000 0.054957
0.000000 0.014000 0.052423
0.000000 0.020000 0.049755
0.000000 0.009000 0.046951
0.000000 0.003000 0.044027
0.000000 0.000000 0.041012
0.000000 0.005000 0.037950
0.000000 0.009000 0.034891
0.000000 0.000000 0.031901
0.000000 0.001000 0.029045
